╔══════════════════════════════════════════╗
║       gm-zig 基准测试工具 (zbench)       ║
╚══════════════════════════════════════════╝
测试时间: 2026-05-25 13:21:39
优化模式: ReleaseFast

系统信息:
  操作系统: macos x86_64
  CPU:      Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz
  核心数:   4
  内存:     16.000GiB

性能数据:
benchmark         runs     total time     time/run (avg ± σ)    (min ... max)                p75        p99        p995      
------------------------------------------------------------------------------------------------------------------------------
SM3 hash 64B      100000   43.573ms       435ns ± 535ns         (416ns ... 110.065us)        429ns      445ns      532ns      
SM3 hash 1K       100000   337.886ms      3.378us ± 1.812us     (3.096us ... 95.736us)       3.403us    3.441us    3.832us    
SM3 hash 64K      9527     1.92s          201.579us ± 29.648us  (182.765us ... 559.985us)    203.691us  338.759us  367.304us  
SM3 hash 1M       574      1.946s         3.391ms ± 393.905us   (3.025ms ... 5.956ms)        3.383ms    5.378ms    5.632ms    
SM3 hash 10M      60       2.013s         33.564ms ± 1.251ms    (31.557ms ... 37.674ms)      34.455ms   37.674ms   37.674ms   
SM4 ECB E 16B     100000   3.952ms        39ns ± 85ns           (38ns ... 21.969us)          40ns       41ns       41ns       
SM4 ECB D 16B     100000   3.777ms        37ns ± 82ns           (32ns ... 25.295us)          39ns       40ns       41ns       
SM4 ECB E 1K      100000   751.039ms      7.51us ± 3.026us      (6.685us ... 191.475us)      7.489us    9.082us    17.655us   
SM4 ECB D 1K      100000   741.479ms      7.414us ± 2.797us     (6.681us ... 172.466us)      7.482us    7.915us    13.639us   
SM4 ECB E 64K     4154     1.98s          476.683us ± 64.735us  (424.848us ... 2.392ms)      479.026us  680.809us  773.479us  
SM4 ECB D 64K     4293     1.981s         461.515us ± 39.888us  (424.356us ... 872.629us)    473.125us  604.617us  638.457us  
SM4 ECB E 1M      268      2.05s          7.65ms ± 524.456us    (6.839ms ... 10.662ms)       8.024ms    8.953ms    9.26ms     
SM4 ECB D 1M      265      1.977s         7.46ms ± 370.955us    (6.821ms ... 9.544ms)        7.645ms    9.45ms     9.534ms    
ZUC key stream    100000   131.719ms      1.317us ± 1.322us     (1.215us ... 85.358us)       1.294us    1.402us    1.407us    
ZUC crypt 1K      100000   321.082ms      3.21us ± 1.959us      (2.994us ... 89.901us)       3.282us    3.341us    3.409us    
ZUC crypt 64K     11651    2.069s         177.64us ± 31.099us   (156.356us ... 785.89us)     175.168us  290.495us  319.246us  
ZUC crypt 1M      708      1.938s         2.738ms ± 159.777us   (2.475ms ... 4.365ms)        2.799ms    3.256ms    3.424ms    
ZUC MAC 16B       100000   51.485ms       514ns ± 655ns         (476ns ... 111.69us)         524ns      529ns      529ns      
ZUC MAC 4K        100000   1.562s         15.623us ± 5.362us    (14.452us ... 483.827us)     14.948us   48.787us   54.496us   
ZUC AEAD 1K       100000   749.551ms      7.495us ± 3.168us     (6.887us ... 152.012us)      7.688us    7.925us    29.883us   
ZUC AEAD 64K      4672     1.976s         423.028us ± 48.078us  (376.868us ... 904.37us)     423.845us  593.568us  628.262us  
SM4 CBC E 1K      100000   870.308ms      8.703us ± 3.579us     (7.887us ... 332.816us)      8.8us      9.431us    31.689us   
SM4 CBC D 1K      100000   732.439ms      7.324us ± 3.291us     (6.725us ... 238.15us)       6.978us    8.312us    40.164us   
SM4 CTR E 1K      100000   846.118ms      8.461us ± 3.818us     (7.75us ... 182.58us)        8.636us    9.564us    42.763us   
SM4 CTR D 1K      100000   851.698ms      8.516us ± 3.537us     (7.752us ... 364.623us)      8.655us    9.583us    41.132us   
SM4 CTR E 64K     3617     1.936s         535.397us ± 42.704us  (490.175us ... 959.309us)    546.324us  690.328us  722.759us  
SM4 CTR D 64K     3747     1.997s         532.982us ± 47.341us  (490.099us ... 1.087ms)      546.181us  709.729us  785.822us  
SM4 GCM 1K        31335    2.08s          66.404us ± 13.963us   (56.034us ... 495.648us)     65.634us   125.867us  144.229us  
SM4 GCM 64K       393      1.977s         5.032ms ± 187.75us    (4.624ms ... 5.672ms)        5.169ms    5.603ms    5.656ms    
SM4 XTS E 1K      100000   821.47ms       8.214us ± 3.591us     (7.568us ... 351.023us)      8.441us    8.93us     40.529us   
SM4 XTS D 1K      100000   832.669ms      8.326us ± 8.852us     (7.748us ... 2.635ms)        8.457us    9.401us    19.381us   
SM4 XTS E 64K     3928     2.027s         516.232us ± 65.811us  (454.067us ... 2.342ms)      530.623us  733.181us  829.359us  
SM4 XTS D 64K     4060     2.001s         492.932us ± 42.253us  (452.846us ... 1.043ms)      505.374us  640.124us  682.84us   
SM2 key gen       6777     2.171s         320.354us ± 76.168us  (253.64us ... 939.039us)     311.459us  607.242us  633.342us  
SM2 sign small    2959     1.985s         671.013us ± 52.733us  (593.529us ... 1.115ms)      692.424us  871.066us  945.264us  
SM2 sign med      2950     1.988s         674.188us ± 53.762us  (594.988us ... 1.291ms)      693.138us  878.379us  939.611us  
SM2 verify sml    1395     1.853s         1.328ms ± 89.282us    (1.184ms ... 2.124ms)        1.354ms    1.691ms    1.832ms    
SM2 verify med    1524     2.02s          1.325ms ± 102.809us   (1.177ms ... 2.45ms)         1.352ms    1.695ms    1.966ms    
SM2 enc small     2124     2.131s         1.003ms ± 179.152us   (837.171us ... 2.043ms)      997.762us  1.804ms    1.852ms    
SM2 enc med       2024     1.915s         946.398us ± 76.015us  (825.091us ... 1.618ms)      972.395us  1.255ms    1.339ms    
SM2 dec small     1578     2s             1.267ms ± 88.304us    (1.09ms ... 2.524ms)         1.298ms    1.562ms    1.617ms    
SM2 dec med       1474     1.89s          1.282ms ± 119.019us   (1.103ms ... 2.572ms)        1.306ms    1.83ms     2.128ms    
SM9 ext sign      134      1.998s         14.911ms ± 590.137us  (14.121ms ... 19.542ms)      15.251ms   16.782ms   19.542ms   
SM9 ext enc       63       2.075s         32.937ms ± 3.201ms    (29.284ms ... 47.681ms)      33.317ms   47.681ms   47.681ms   
SM9 sign small    41       1.864s         45.475ms ± 865.942us  (44.167ms ... 47.134ms)      46.136ms   47.134ms   47.134ms   
SM9 sign med      44       1.985s         45.129ms ± 1.087ms    (43.759ms ... 47.59ms)       46.046ms   47.59ms    47.59ms    
SM9 verify sml    13       1.893s         145.626ms ± 10.675ms  (136.868ms ... 174.417ms)    149.895ms  174.417ms  174.417ms  
SM9 verify med    14       1.971s         140.829ms ± 2.149ms   (137.219ms ... 144.053ms)    142.553ms  144.053ms  144.053ms  
SM9 enc small     63       2.05s          32.554ms ± 2.766ms    (29.921ms ... 44.361ms)      32.941ms   44.361ms   44.361ms   
SM9 enc med       61       1.921s         31.492ms ± 829.505us  (29.814ms ... 33.491ms)      32.016ms   33.491ms   33.491ms   
SM9 dec small     63       2s             31.761ms ± 978.553us  (29.467ms ... 33.313ms)      32.658ms   33.313ms   33.313ms   
SM9 dec med       61       1.989s         32.622ms ± 2.579ms    (29.658ms ... 44.22ms)       32.787ms   44.22ms    44.22ms    
